상세주소,도로명 주소,위도,경도
,,46.3144754,11.0480288
일원로 53 ,일원로 53 ,37.48705,127.08263
개포로 670,개포로 670,37.48281,127.05614
개포로110길 46 ,개포로110길 46 ,37.4906651,127.07931
일원로 90 ,일원로 90 ,37.48705,127.08263
광평로10길 6,광평로10길 6,37.4827048,127.0799026
광평로 196,광평로 196,37.4834878,127.0852764
,,46.3144754,11.0480288
,,46.3144754,11.0480288
광평로34길 17,광평로34길 17,37.4815213,127.0917406
광평로34길 35,광평로34길 35,37.4815213,127.0917406
광평로19길 10,광평로19길 10,37.4846311,127.0864389
광평로20길 27 ,광평로20길 27 ,37.4816994,127.0864459
압구정로 410 ,압구정로 410 ,37.5281196,127.0301698
압구정로 433,압구정로 433,37.5281196,127.0301698
학동로 441 ,학동로 441 ,37.511131,127.0212507
학동로 445 ,학동로 445 ,37.511131,127.0212507
삼성로 716 ,삼성로 716 ,37.5162779,127.0515537
선릉로 816 ,선릉로 816 ,37.5257607,127.0399898
도산대로 507 ,도산대로 507 ,37.5247138,127.0484614
도산대로 521 ,도산대로 521 ,37.524951,127.0540527
도산대로 442 ,도산대로 442 ,37.5232512,127.0440572
도산대로 534 ,도산대로 534 ,37.524380699999995,127.05184045406466
압구정로75길 6 ,압구정로75길 6 ,37.5272125,127.0475161
학동로 411 ,학동로 411 ,37.511131,127.0212507
학동로 425 ,학동로 425 ,37.511131,127.0212507
영동대로 727 ,영동대로 727 ,37.5092189,127.0631384
,,46.3144754,11.0480288
선릉로 748 ,선릉로 748 ,37.5257607,127.0399898
학동로 609 ,학동로 609 ,37.511131,127.0212507
도산대로 429 ,도산대로 429 ,37.524951,127.0540527
선릉로 828 ,선릉로 828 ,37.5257607,127.0399898
,,46.3144754,11.0480288
영동대로 741 ,영동대로 741 ,37.5092189,127.0631384
도산대로101길 29 ,도산대로101길 29 ,37.52690595,127.05242370440268
삼성로 761 ,삼성로 761 ,37.5162779,127.0515537
도산대로 529,도산대로 529,37.524951,127.0540527
